Longitude;Latitude;NameOfStation;District
37,6316766;55,7573154;Китай-город;Тверской
37,631205;55,756855;Китай-город;Тверской
37,6319506;55,7572362;Китай-город;Тверской
37,633082;55,753098;Китай-город;Тверской
37,633559;55,753072;Китай-город;Тверской
37,6341765;55,7541345;Китай-город;Тверской
37,634966;55,754114;Китай-город;Тверской
37,629468;55,75664;Китай-город;Тверской
37,5826448;55,7753945;Белорусская;Тверской
37,58217;55,777269;Белорусская;Тверской
37,585696;55,777448;Белорусская;Тверской
37,630006;55,756247;Китай-город;Тверской
37,630777;55,757007;Китай-город;Тверской
37,614359;55,757049;Охотный ряд;Тверской
37,614546;55,756888;Охотный ряд;Тверской
37,4922446;55,7939801;Октябрьское поле;Щукино
37,4919278;55,7941438;Октябрьское поле;Щукино
37,4925294;55,7941853;Октябрьское поле;Щукино
37,4922657;55,7943253;Октябрьское поле;Щукино
37,4944062;55,7928291;Октябрьское поле;Щукино
37,635364;55,753728;Китай-город;Тверской
37,494672;55,7927107;Октябрьское поле;Щукино
37,494715;55,7930327;Октябрьское поле;Щукино
37,4949407;55,7929182;Октябрьское поле;Щукино
37,626024;55,759018;Лубянка;Тверской
37,626322;55,758812;Лубянка;Тверской
37,627157;55,758934;Лубянка;Тверской
37,628067;55,759222;Лубянка;Тверской
37,627963;55,760009;Лубянка;Тверской
37,628469;55,759583;Лубянка;Тверской
37,628384;55,759958;Лубянка;Тверской
37,625869;55,758992;Лубянка;Тверской
37,628323;55,759369;Лубянка;Тверской
37,624185;55,761541;Кузнецкий мост;Тверской
37,594548;55,771143;Маяковская;Тверской
37,596533;55,76926;Маяковская;Тверской
37,614745;55,757306;Охотный ряд;Тверской
37,615083;55,757195;Охотный ряд;Тверской
37,615929;55,756667;Охотный ряд;Тверской
37,617727;55,75608;Охотный ряд;Тверской
37,61563;55,756804;Охотный ряд;Тверской
37,5987019;55,7814401;Менделеевская;Тверской
37,599007;55,781943;Менделеевская;Тверской
37,5984772;55,7816926;Менделеевская;Тверской
37,6218566;55,7678427;Трубная;Тверской
37,617566;55,758683;Охотный ряд;Тверской
37,4629558;55,8089913;Щукинская;Щукино
37,4632352;55,8093474;Щукинская;Щукино
37,4654909;55,8077329;Щукинская;Щукино
37,465866;55,807997;Щукинская;Щукино
37,6186056;55,7706045;Цветной бульвар;Тверской
37,5821305;55,7775707;Белорусская;Тверской
37,597155;55,769542;Маяковская;Тверской
37,633601;55,753211;Китай-город;Тверской
37,633214;55,753031;Китай-город;Тверской
37,6318543;55,7570083;Китай-город;Тверской
37,617952;55,758783;Охотный ряд;Тверской
37,58613;55,777624;Белорусская;Тверской
37,53066;55,8004;Аэропорт;Аэропорт
37,5319322;55,8010499;Аэропорт;Аэропорт
37,5343722;55,799983;Аэропорт;Аэропорт
37,5318511;55,8013396;Аэропорт;Аэропорт
37,625138;55,759845;Лубянка;Тверской
37,597239;55,769445;Маяковская;Тверской
37,515181;"	
55.805167";Сокол;Аэропорт
37,6206024;55,7716941;Цветной бульвар;Тверской
37,6194447;55,7690524;Трубная;Тверской
37,6056071;55,7656092;Пушкинская;Тверской
37,6058003;55,7651927;Тверская;Тверской
37,6086863;55,764728;Чеховская;Тверской
37,6058129;55,7643082;Чеховская;Тверской
37,6046689;55,7657581;Пушкинская;Тверской
37,6039687;55,7653318;Пушкинская;Тверской
37,6215898;55,7566179;Площадь Революции;Тверской
37,5568328;55,7916298;Петровский парк;Аэропорт
37,5566775;55,7905491;Динамо;Аэропорт
37,5583398;55,7925656;Петровский парк;Аэропорт
37,4987811;55,7990236;Панфиловская;Щукино
